Id,SalePrice
1461,112741.57
1462,143113.52
1463,167066.11
1464,191507.64
1465,223278.33
1466,192545.55
1467,158238.02
1468,182268.05
1469,197518.22
1470,116967.26
1471,199304.61
1472,129751.47
1473,126889.76
1474,171737.36
1475,131973.78
1476,360033.8
1477,286074.8
1478,329106.66
1479,299779.8
1480,370983.97
1481,318071.88
1482,235044.98
1483,174967.31
1484,186519.14
1485,204239.64
1486,227900.83
1487,325296.72
1488,287502.3
1489,194109.47
1490,185490.38
1491,223452.39
1492,104907.46
1493,173932.92
1494,318511.2
1495,313113.7
1496,212363.88
1497,224734.61
1498,190439.39
1499,190439.39
1500,167957.67
1501,186347.86
1502,179271.72
1503,271931.0
1504,260423.4
1505,211776.42
1506,191542.06
1507,234561.05
1508,210819.78
1509,184272.2
1510,142654.12
1511,141438.2
1512,146080.19
1513,187195.33
1514,136129.4
1515,189553.95
1516,167313.9
1517,135679.61
1518,148361.05
1519,211383.84
1520,125056.336
1521,127967.68
1522,175624.14
1523,125005.01
1524,118729.43
1525,114959.51
1526,116902.086
1527,104160.32
1528,134767.9
1529,137440.6
1530,165521.81
1531,125207.555
1532,93794.27
1533,145506.1
1534,132873.75
1535,142170.17
1536,117036.24
1537,92734.5
1538,172954.7
1539,255247.14
1540,142941.98
1541,156366.47
1542,142007.69
1543,186107.94
1544,86728.37
1545,127007.54
1546,145777.02
1547,133231.06
1548,143867.98
1549,121432.3
1550,131890.12
1551,118339.164
1552,145525.9
1553,130077.31
1554,131420.98
1555,132281.19
1556,115073.59
1557,115370.414
1558,114601.93
1559,125005.94
1560,132767.69
1561,133901.8
1562,114283.87
1563,113437.65
1564,154477.19
1565,154105.84
1566,202180.1
1567,95486.93
1568,204416.53
1569,108761.98
1570,127400.22
1571,129866.516
1572,124655.35
1573,217661.58
1574,129368.77
1575,202989.73
1576,261790.05
1577,194874.16
1578,139102.67
1579,140166.28
1580,222446.34
1581,125691.83
1582,125774.37
1583,306574.9
1584,244371.72
1585,146422.8
1586,87010.38
1587,115692.93
1588,130688.95
1589,120876.24
1590,137048.55
1591,102713.25
1592,102505.58
1593,122028.945
1594,187110.83
1595,131031.42
1596,196581.61
1597,176078.72
1598,218715.89
1599,198840.11
1600,215452.11
1601,89580.695
1602,119976.61
1603,88144.68
1604,251193.08
1605,301672.7
1606,159864.72
1607,218033.45
1608,237247.2
1609,193774.22
1610,158665.48
1611,144051.88
1612,156781.78
1613,148205.66
1614,119866.26
1615,112769.19
1616,112769.19
1617,119873.84
1618,115101.734
1619,127997.83
1620,259355.89
1621,154549.3
1622,124380.734
1623,255710.73
1624,200936.92
1625,118018.234
1626,169754.95
1627,191331.0
1628,319808.25
1629,218085.2
1630,292363.62
1631,238903.8
1632,252468.77
1633,202248.08
1634,193521.27
1635,184033.89
1636,158925.78
1637,175852.66
1638,233831.75
1639,187068.1
1640,261747.61
1641,189240.9
1642,235986.83
1643,261753.31
1644,259336.83
1645,156842.11
1646,144202.58
1647,177427.5
1648,141424.78
1649,124791.06
1650,116092.37
1651,116483.92
1652,130501.05
1653,130126.266
1654,178413.25
1655,165164.39
1656,172598.45
1657,179274.33
1658,173029.02
1659,132343.81
1660,136707.84
1661,391796.88
1662,373134.62
1663,346307.8
1664,407629.1
1665,332326.97
1666,297338.78
1667,330493.97
1668,332698.25
1669,319947.06
1670,336076.66
1671,229046.27
1672,362229.06
1673,341334.4
1674,288529.16
1675,177551.6
1676,173572.19
1677,204337.42
1678,399945.56
1679,316390.75
1680,301055.53
1681,277277.72
1682,292855.72
1683,206083.14
1684,210578.5
1685,187006.61
1686,192554.5
1687,204239.64
1688,221654.73
1689,219378.19
1690,212001.8
1691,201407.27
1692,307387.22
1693,204239.64
1694,186482.6
1695,206158.64
1696,284677.2
1697,206158.64
1698,333666.8
1699,306923.12
1700,241696.61
1701,275693.5
1702,294345.6
1703,292254.72
1704,294278.72
1705,239128.39
1706,364433.75
1707,210460.33
1708,208018.0
1709,320279.47
1710,240153.53
1711,298794.9
1712,263146.47
1713,256232.02
1714,216291.44
1715,222652.48
1716,195032.44
1717,188012.22
1718,141377.31
1719,232445.06
1720,282179.0
1721,184769.45
1722,131516.55
1723,130706.055
1724,244243.05
1725,245100.8
1726,196632.94
1727,169123.1
1728,211559.67
1729,172475.72
1730,200481.77
1731,127618.195
1732,120895.63
1733,110882.15
1734,96551.57
1735,114401.18
1736,114044.85
1737,299206.97
1738,223589.69
1739,312196.03
1740,203350.17
1741,174516.98
1742,186347.86
1743,207714.8
1744,243242.14
1745,220193.27
1746,279886.5
1747,232951.5
1748,228959.16
1749,134462.48
1750,141279.28
1751,246383.36
1752,113056.65
1753,159705.08
1754,232655.14
1755,160020.33
1756,113906.19
1757,110158.26
1758,150400.66
1759,155090.61
1760,145207.42
1761,145193.12
1762,180944.77
1763,176102.73
1764,114294.836
1765,185368.98
1766,165499.47
1767,175351.28
1768,124034.13
1769,183685.67
1770,103109.51
1771,126785.625
1772,134579.03
1773,119219.35
1774,163784.16
1775,128027.4
1776,130682.13
1777,100845.99
1778,117043.57
1779,126183.086
1780,192674.47
1781,124711.38
1782,95044.06
1783,122759.45
1784,92986.6
1785,110232.23
1786,147612.12
1787,185765.2
1788,97613.81
1789,104642.93
1790,80545.13
1791,253193.86
1792,147071.89
1793,144297.19
1794,135118.44
1795,131451.77
1796,133803.0
1797,144880.92
1798,119698.08
1799,99868.78
1800,126897.07
1801,109019.11
1802,166535.94
1803,190744.39
1804,131660.08
1805,130074.625
1806,138319.23
1807,173217.25
1808,128385.78
1809,114651.22
1810,149764.77
1811,120161.0
1812,116388.91
1813,130611.055
1814,98429.805
1815,90640.51
1816,93304.36
1817,105878.2
1818,148490.53
1819,128665.516
1820,84564.75
1821,139251.44
1822,179549.73
1823,89208.86
1824,137751.12
1825,122673.45
1826,113259.45
1827,105569.305
1828,121107.26
1829,191892.97
1830,165695.72
1831,174688.9
1832,140951.28
1833,154227.45
1834,135325.02
1835,149625.23
1836,149564.36
1837,89907.74
1838,134132.6
1839,90450.695
1840,143097.69
1841,108359.945
1842,94546.6
1843,123467.54
1844,148037.17
