ImageId,Label
1,2
2,0
3,4
4,0
5,3
6,7
7,0
8,3
9,0
10,3
11,5
12,7
13,4
14,0
15,4
16,0
17,3
18,1
19,4
20,0
21,4
22,1
23,1
24,5
25,7
26,4
27,2
28,7
29,0
30,7
31,7
32,5
33,4
34,2
35,2
36,2
37,5
38,5
39,1
40,0
41,7
42,7
43,4
44,4
45,2
46,7
47,3
48,2
49,3
50,7
51,0
52,0
53,0
54,3
55,4
56,2
57,1
58,2
59,2
60,0
61,4
62,1
63,7
64,0
65,0
66,0
67,1
68,4
69,0
70,1
71,2
72,5
73,3
74,0
75,2
76,0
77,3
78,0
79,2
80,3
81,5
82,4
83,1
84,0
85,4
86,2
87,4
88,3
89,4
90,7
91,2
92,0
93,2
94,2
95,0
96,4
97,3
98,7
99,7
100,4
101,0
102,3
103,2
104,0
105,7
106,3
107,0
108,5
109,0
110,3
111,0
112,0
113,4
114,7
115,1
116,7
117,1
118,1
119,3
120,3
121,3
122,7
123,2
124,0
125,2
126,3
127,3
128,7
129,0
130,4
131,3
132,5
133,0
134,0
135,0
136,0
137,3
138,1
139,3
140,0
141,4
142,3
143,4
144,5
145,5
146,4
147,7
148,7
149,2
150,5
151,4
152,3
153,5
154,2
155,3
156,3
157,7
158,3
159,7
160,2
161,3
162,0
163,4
164,0
165,1
166,0
167,7
168,2
169,3
170,0
171,2
172,7
173,4
174,2
175,1
176,3
177,7
178,4
179,1
180,2
181,4
182,3
183,5
184,2
185,4
186,4
187,2
188,1
189,2
190,0
191,2
192,1
193,4
194,4
195,4
196,0
197,4
198,7
199,0
200,4
201,1
202,4
203,0
204,1
205,4
206,0
207,4
208,4
209,2
210,2
211,0
212,0
213,3
214,2
215,7
216,2
217,1
218,2
219,3
220,4
221,2
222,3
223,1
224,2
225,2
226,0
227,4
228,4
229,1
230,0
231,0
232,4
233,7
234,1
235,7
236,3
237,2
238,3
239,3
240,2
241,3
242,2
243,2
244,3
245,5
246,5
247,4
248,3
249,3
250,0
251,4
252,7
253,1
254,3
255,0
256,4
257,3
258,1
259,4
260,3
261,2
262,3
263,3
264,5
265,7
266,0
267,2
268,0
269,3
270,1
271,4
272,0
273,2
274,3
275,7
276,4
277,1
278,5
279,3
280,4
281,0
282,7
283,2
284,0
285,5
286,3
287,7
288,1
289,4
290,4
291,5
292,7
293,7
294,4
295,4
296,2
297,3
298,0
299,3
300,3
301,2
302,4
303,0
304,2
305,2
306,3
307,7
308,1
309,4
310,5
311,3
312,5
313,4
314,0
315,0
316,3
317,0
318,4
319,1
320,5
321,4
322,1
323,1
324,4
325,3
326,4
327,3
328,1
329,3
330,3
331,2
332,3
333,1
334,3
335,0
336,4
337,0
338,0
339,2
340,0
341,2
342,0
343,1
344,2
345,3
346,0
347,5
348,5
349,2
350,2
351,0
352,7
353,7
354,2
355,0
356,2
357,0
358,4
359,2
360,7
361,3
362,2
363,3
364,2
365,4
366,2
367,3
368,3
369,1
370,2
371,4
372,4
373,7
374,4
375,7
376,2
377,4
378,5
379,3
380,7
381,4
382,5
383,5
384,4
385,2
386,2
387,2
388,1
389,3
390,7
391,1
392,7
393,4
394,4
395,4
396,0
397,1
398,1
399,7
400,3
401,4
402,7
403,2
404,1
405,1
406,1
407,4
408,3
409,0
410,0
411,5
412,0
413,4
414,1
415,2
416,3
417,1
418,1
419,3
420,5
421,4
422,3
423,2
424,5
425,3
426,1
427,4
428,7
429,4
430,7
431,4
432,4
433,5
434,2
435,2
436,1
437,3
438,4
439,5
440,0
441,3
442,4
443,7
444,4
445,4
446,4
447,7
448,5
449,3
450,4
451,5
452,7
453,4
454,4
455,0
456,4
457,2
458,3
459,3
460,5
461,1
462,7
463,5
464,0
465,5
466,1
467,7
468,4
469,4
470,1
471,1
472,4
473,4
474,5
475,0
476,0
477,1
478,3
479,1
480,0
481,4
482,3
483,1
484,2
485,7
486,4
487,4
488,0
489,3
490,7
491,0
492,4
493,2
494,4
495,2
496,7
497,0
498,3
499,2
500,0
501,2
502,5
503,4
504,4
505,1
506,3
507,3
508,3
509,0
510,2
511,7
512,0
513,3
514,7
515,3
516,3
517,3
518,7
519,0
520,3
521,2
522,4
523,0
524,7
525,7
526,1
527,0
528,1
529,1
530,7
531,0
532,4
533,3
534,5
535,3
536,5
537,2
538,5
539,7
540,3
541,0
542,2
543,2
544,2
545,0
546,3
547,0
548,4
549,2
550,1
551,1
552,3
553,0
554,3
555,0
556,0
557,7
558,5
559,2
560,2
561,0
562,3
563,1
564,1
565,2
566,5
567,4
568,1
569,1
570,4
571,2
572,5
573,3
574,0
575,0
576,4
577,1
578,2
579,4
580,2
581,5
582,1
583,0
584,2
585,0
586,1
587,7
588,3
589,3
590,0
591,3
592,4
593,4
594,5
595,3
596,2
597,0
598,0
599,0
600,3
601,0
602,1
603,7
604,1
605,5
606,2
607,2
608,5
609,2
610,4
611,7
612,4
613,3
614,3
615,2
616,4
617,7
618,0
619,0
620,7
621,3
622,5
623,4
624,4
625,0
626,3
627,1
628,3
629,2
630,2
631,2
632,1
633,5
634,4
635,1
636,4
637,7
638,7
639,2
640,3
641,0
642,4
643,4
644,0
645,0
646,7
647,4
648,4
649,1
650,3
651,4
652,4
653,0
654,0
655,2
656,2
657,4
658,3
659,3
660,7
661,2
662,3
663,4
664,0
665,4
666,2
667,1
668,3
669,3
670,2
671,3
672,4
673,4
674,3
675,0
676,7
677,7
678,2
679,2
680,0
681,2
682,4
683,3
684,2
685,1
686,3
687,4
688,4
689,4
690,4
691,2
692,2
693,0
694,1
695,4
696,4
697,3
698,4
699,4
700,2
701,4
702,0
703,5
704,0
705,0
706,0
707,4
708,4
709,2
710,5
711,5
712,2
713,1
714,5
715,3
716,2
717,2
718,3
719,7
720,3
721,4
722,3
723,1
724,0
725,1
726,0
727,2
728,4
729,7
730,5
731,7
732,1
733,3
734,2
735,7
736,7
737,1
738,0
739,1
740,5
741,4
742,4
743,3
744,4
745,3
746,4
747,0
748,7
749,0
750,2
751,4
752,4
753,4
754,4
755,7
756,4
757,7
758,1
759,1
760,2
761,7
762,0
763,4
764,0
765,4
766,0
767,0
768,5
769,1
770,3
771,2
772,5
773,0
774,1
775,5
776,3
777,4
778,2
779,3
780,1
781,1
782,2
783,4
784,2
785,3
786,5
787,3
788,4
789,3
790,0
791,3
792,0
793,4
794,0
795,4
796,3
797,1
798,4
799,4
800,7
801,1
802,1
803,3
804,3
805,1
806,4
807,4
808,2
809,4
810,1
811,5
812,4
813,2
814,3
815,2
816,4
817,0
818,0
819,7
820,4
821,3
822,0
823,5
824,0
825,1
826,4
827,0
828,4
829,5
830,2
831,3
832,0
833,5
834,4
835,3
836,4
837,2
838,1
839,3
840,3
841,1
842,4
843,0
844,2
845,4
846,2
847,7
848,2
849,3
850,5
851,3
852,4
853,7
854,7
855,2
856,2
857,1
858,3
859,4
860,5
861,0
862,4
863,1
864,4
865,2
866,3
867,0
868,4
869,2
870,3
871,4
872,5
873,4
874,2
875,3
876,0
877,1
878,1
879,0
880,1
881,4
882,4
883,1
884,1
885,2
886,7
887,1
888,5
889,4
890,4
891,1
892,7
893,4
894,0
895,4
896,2
897,4
898,4
899,0
900,1
901,5
902,3
903,5
904,7
905,4
906,7
907,3
908,3
909,2
910,7
911,2
912,0
913,4
914,7
915,1
916,2
917,4
918,2
919,1
920,0
921,7
922,3
923,0
924,7
925,4
926,7
927,4
928,2
929,2
930,3
931,3
932,2
933,1
934,4
935,3
936,3
937,7
938,7
939,4
940,5
941,2
942,2
943,2
944,1
945,0
946,4
947,3
948,2
949,4
950,2
951,2
952,7
953,5
954,2
955,3
956,2
957,3
958,3
959,0
960,2
961,7
962,4
963,4
964,0
965,0
966,3
967,1
968,2
969,7
970,2
971,3
972,2
973,0
974,2
975,7
976,0
977,3
978,0
979,7
980,4
981,3
982,2
983,7
984,4
985,7
986,7
987,0
988,5
989,3
990,2
991,1
992,4
993,0
994,2
995,3
996,3
997,2
998,2
999,2
1000,4
1001,0
1002,7
1003,0
1004,7
1005,1
1006,3
1007,4
1008,2
1009,3
1010,0
1011,2
1012,0
1013,3
1014,7
1015,3
1016,7
1017,2
1018,3
1019,4
1020,4
1021,0
1022,4
1023,4
1024,4
1025,2
1026,0
1027,1
1028,5
1029,5
1030,1
1031,4
1032,1
1033,3
1034,3
1035,4
1036,5
1037,3
1038,5
1039,2
1040,0
1041,1
1042,2
1043,1
1044,4
1045,2
1046,2
1047,7
1048,7
1049,2
1050,2
1051,2
1052,0
1053,3
1054,3
1055,0
1056,1
1057,1
1058,3
1059,2
1060,3
1061,0
1062,0
1063,4
1064,0
1065,0
1066,4
1067,7
1068,0
1069,5
1070,4
1071,5
1072,3
1073,7
1074,4
1075,7
1076,2
1077,0
1078,1
1079,2
1080,4
1081,3
1082,0
1083,2
1084,3
1085,7
1086,7
1087,0
1088,2
1089,3
1090,1
1091,3
1092,1
1093,0
1094,1
1095,7
1096,2
1097,5
1098,3
1099,3
1100,3
1101,4
1102,2
1103,4
1104,1
1105,3
1106,2
1107,0
1108,0
1109,4
1110,0
1111,7
1112,2
1113,0
1114,1
1115,0
1116,3
1117,2
1118,2
1119,4
1120,0
1121,2
1122,5
1123,4
1124,1
1125,4
1126,3
1127,4
1128,2
1129,1
1130,2
1131,0
1132,3
1133,4
1134,0
1135,3
1136,2
1137,2
1138,7
1139,7
1140,7
1141,0
1142,0
1143,2
1144,1
1145,2
1146,3
1147,4
1148,3
1149,5
1150,3
1151,0
1152,7
1153,0
1154,4
1155,7
1156,4
1157,4
1158,1
1159,5
1160,0
1161,4
1162,1
1163,7
1164,0
1165,0
1166,4
1167,0
1168,2
1169,4
1170,5
1171,3
1172,2
1173,0
1174,1
1175,4
1176,2
1177,2
1178,7
1179,2
1180,5
1181,3
1182,3
1183,4
1184,4
1185,0
1186,7
1187,0
1188,3
1189,0
1190,4
1191,7
1192,3
1193,3
1194,0
1195,3
1196,0
1197,3
1198,2
1199,5
1200,4
1201,4
1202,4
1203,3
1204,0
1205,1
1206,7
1207,4
1208,2
1209,4
1210,0
1211,4
1212,7
1213,2
1214,4
1215,5
1216,0
1217,3
1218,7
